,cost,trainAcc,valAcc,valPrecision,valRecall,valF1_score,testAcc,testPrecision,testRecall,testF1_score
22,211,0.886949623,0.833333333,0.774193548,0.837209302,0.804469274,0.802615933,0.765333333,0.78630137,0.775675676
23,221,0.888536295,0.835714286,0.77688172,0.840116279,0.80726257,0.802615933,0.765333333,0.78630137,0.775675676
24,231,0.888139627,0.835714286,0.77688172,0.840116279,0.80726257,0.803804994,0.767379679,0.78630137,0.776725304
25,241,0.890519635,0.836904762,0.776,0.845930233,0.80945758,0.802615933,0.765333333,0.78630137,0.775675676
26,251,0.890519635,0.835714286,0.77393617,0.845930233,0.808333333,0.801426873,0.763297872,0.78630137,0.77462888
27,261,0.889329631,0.838095238,0.778074866,0.845930233,0.810584958,0.802615933,0.765333333,0.78630137,0.775675676
28,271,0.892106307,0.836904762,0.776,0.845930233,0.80945758,0.802615933,0.765333333,0.78630137,0.775675676
29,281,0.890916303,0.836904762,0.776,0.845930233,0.80945758,0.801426873,0.763297872,0.78630137,0.77462888
30,291,0.894882983,0.836904762,0.778975741,0.840116279,0.808391608,0.800237812,0.765498652,0.778082192,0.77173913
31,301,0.894882983,0.836904762,0.778975741,0.840116279,0.808391608,0.797859691,0.764227642,0.77260274,0.768392371
32,311,0.896072987,0.838095238,0.781081081,0.840116279,0.80952381,0.799048751,0.766304348,0.77260274,0.769440655
33,321,0.894486315,0.838095238,0.781081081,0.840116279,0.80952381,0.799048751,0.764864865,0.775342466,0.770068027
34,331,0.897659659,0.836904762,0.777479893,0.843023256,0.808926081,0.800237812,0.766937669,0.775342466,0.771117166
35,341,0.898849663,0.833333333,0.772727273,0.840116279,0.805013928,0.801426873,0.764705882,0.783561644,0.774018945
36,351,0.897262991,0.836904762,0.777479893,0.843023256,0.808926081,0.801426873,0.767567568,0.778082192,0.772789116
37,361,0.895279651,0.836904762,0.780487805,0.837209302,0.807854137,0.799048751,0.766304348,0.77260274,0.769440655
38,371,0.898056327,0.836904762,0.777479893,0.843023256,0.808926081,0.802615933,0.76819407,0.780821918,0.774456522
39,381,0.898056327,0.836904762,0.777479893,0.843023256,0.808926081,0.802615933,0.76819407,0.780821918,0.774456522
40,391,0.897262991,0.838095238,0.779569892,0.843023256,0.810055866,0.801426873,0.767567568,0.778082192,0.772789116
41,401,0.901626339,0.83452381,0.773333333,0.843023256,0.806675939,0.799048751,0.76344086,0.778082192,0.770691995
42,411,0.901229671,0.833333333,0.774193548,0.837209302,0.804469274,0.799048751,0.762032086,0.780821918,0.771312585
43,421,0.901626339,0.832142857,0.776566757,0.828488372,0.801687764,0.800237812,0.764075067,0.780821918,0.772357724
44,431,0.900436335,0.833333333,0.772727273,0.840116279,0.805013928,0.802615933,0.76819407,0.780821918,0.774456522
45,441,0.901626339,0.835714286,0.77540107,0.843023256,0.807799443,0.799048751,0.762032086,0.780821918,0.771312585
46,451,0.900039667,0.83452381,0.774798928,0.840116279,0.806136681,0.802615933,0.76819407,0.780821918,0.774456522
47,461,0.900039667,0.835714286,0.77540107,0.843023256,0.807799443,0.802615933,0.76819407,0.780821918,0.774456522
48,471,0.905593019,0.833333333,0.777173913,0.831395349,0.803370787,0.800237812,0.764075067,0.780821918,0.772357724
49,481,0.899642999,0.83452381,0.774798928,0.840116279,0.806136681,0.802615933,0.76819407,0.780821918,0.774456522
50,491,0.899246331,0.83452381,0.774798928,0.840116279,0.806136681,0.802615933,0.76819407,0.780821918,0.774456522
