,cost,degree,trainAcc,valAcc,testAcc
54,31,2,0.662435541,0.622619048,0.644470868
55,41,2,0.660452202,0.626190476,0.644470868
56,51,2,0.659658866,0.626190476,0.644470868
57,61,2,0.65886553,0.622619048,0.643281807
58,71,2,0.658072194,0.619047619,0.637336504
59,81,2,0.658072194,0.626190476,0.644470868
60,91,2,0.656088854,0.620238095,0.636147444
61,101,2,0.662435541,0.627380952,0.642092747
62,111,2,0.656485522,0.626190476,0.637336504
63,121,2,0.65688219,0.622619048,0.633769322
64,131,2,0.653708846,0.621428571,0.627824019
65,141,2,0.661642205,0.616666667,0.634958383
66,151,2,0.654502182,0.626190476,0.632580262
67,161,2,0.660055534,0.61547619,0.633769322
68,171,2,0.647362158,0.620238095,0.618311534
69,181,2,0.617612059,0.573809524,0.573127229
70,191,2,0.62713209,0.596428571,0.599286564
71,201,2,0.652518842,0.623809524,0.615933413
72,211,2,0.646172154,0.632142857,0.625445898
73,221,2,0.661245537,0.635714286,0.637336504
74,231,2,0.665608885,0.621428571,0.625445898
75,241,2,0.655692186,0.632142857,0.627824019
76,251,2,0.625942086,0.573809524,0.581450654
77,261,2,0.659658866,0.632142857,0.627824019
78,271,2,0.651328838,0.629761905,0.633769322
79,281,2,0.653708846,0.630952381,0.621878716
80,291,2,0.653312178,0.629761905,0.626634958
81,301,2,0.610868703,0.577380952,0.600475624
82,311,2,0.653312178,0.629761905,0.620689655
83,321,2,0.637445458,0.620238095,0.617122473
84,331,2,0.65886553,0.63452381,0.627824019
85,341,2,0.656088854,0.629761905,0.626634958
86,351,2,0.649345498,0.633333333,0.631391201
87,361,2,0.652122174,0.630952381,0.631391201
88,371,2,0.65489885,0.629761905,0.633769322
89,381,2,0.657675526,0.63452381,0.632580262
90,391,2,0.657278858,0.633333333,0.62901308
91,401,2,0.651725506,0.632142857,0.631391201
92,411,2,0.658072194,0.629761905,0.623067776
93,421,2,0.655295518,0.633333333,0.631391201
94,431,2,0.653312178,0.635714286,0.637336504
95,441,2,0.656485522,0.638095238,0.634958383
96,451,2,0.65688219,0.635714286,0.632580262
97,461,2,0.65291551,0.636904762,0.62901308
98,471,2,0.649345498,0.635714286,0.626634958
99,481,2,0.658072194,0.636904762,0.634958383
100,491,2,0.658468862,0.632142857,0.637336504
101,1,3,0.808012693,0.720238095,0.711058264
102,11,3,0.814359381,0.713095238,0.705112961
103,21,3,0.776279254,0.701190476,0.696789536
104,31,3,0.789369298,0.701190476,0.680142687
105,41,3,0.781435938,0.714285714,0.683709869
106,51,3,0.752479175,0.673809524,0.669441141
107,61,3,0.744942483,0.65,0.657550535
108,71,3,0.767552559,0.686904762,0.673008323
109,81,3,0.777469258,0.660714286,0.689655172
110,91,3,0.767552559,0.679761905,0.66706302
111,101,3,0.763982547,0.671428571,0.663495838
112,111,3,0.740975803,0.666666667,0.657550535
113,121,3,0.722729076,0.632142857,0.639714625
114,131,3,0.739785799,0.660714286,0.669441141
115,141,3,0.734232447,0.658333333,0.644470868
