"","year","origin","dest","distcalc","origID","destID","dist_mi","dcost","segpax","mktpax","orig_income","dest_income","orig_pop","dest_pop","orig_tourist","dest_tourist","orig_industry","dest_industry","gdp","log_twoPops","twoPops","log_twoIncome","twoIncome"
"45",2005,"BOS","MCO",1807.81904105363,10721,13204,1121,31317695.46,513739,523961,40476,28698,587260,223410,"Y","Y","Y","Y",44307.83,25.5999868582718,810670,20.873047197758,69174
"46",2005,"BOS","MDW",1382.97333474657,10721,13232,861,5632839.893,124507,118204,40476,33736,587260,2752523,"Y","Y","Y","Y",44307.83,28.111251434483,3339783,21.034785280276,74212
"47",2005,"BOS","MIA",2030.37871765336,10721,13303,1258,23092790.88,322787,318770,40476,30200,587260,608056,"Y","Y","Y","Y",44307.83,26.601245192869,1195316,20.9240616882126,70676
"48",2005,"BOS","MSP",1806.18751330048,10721,13487,1124,12679987.72,208710,210534,40476,36808,587260,376937,"Y","N","Y","N",44307.83,26.1230562746116,964197,21.121934976685,77284
"49",2005,"BOS","ORD",1392.66989914983,10721,13930,867,42489694.42,775202,759373,40476,33736,587260,2752523,"Y","Y","Y","Y",44307.83,28.111251434483,3339783,21.034785280276,74212
"50",2005,"BOS","PDX",4076.81866648828,10721,14057,2537,3857339.108,31474,2608,40476,31999,587260,538053,"Y","N","Y","Y",44307.83,26.4789352782019,1125313,20.9819244161432,72475
"51",2005,"BOS","PHL",450.445158588936,10721,14100,280,10900468.56,549469,521500,40476,34480,587260,1490861,"Y","Y","Y","Y",44307.83,27.4980872942772,2078121,21.0565992096273,74956
"52",2005,"BOS","PHX",3697.7908739691,10721,14107,2300,12116636.84,95926,99130,40476,30145,587260,1417720,"Y","N","Y","N",44307.83,27.4477834362622,2004980,20.9222388357732,70621
"53",2005,"BOS","SAN",4160.43117341825,10721,14679,2588,7465616.94,52587,56220,40476,34343,587260,1257278,"Y","Y","Y","Y",44307.83,27.3276825555144,1844538,21.0526179771627,74819
"54",2005,"BOS","SEA",4010.14469373966,10721,14747,2496,9049781.118,82475,92842,40476,37040,587260,853562,"Y","N","Y","Y",44307.83,26.9403963915394,1440822,21.1282181736098,77516
"55",2005,"BOS","SFO",4346.03986420718,10721,14771,2704,54076462.68,358209,363662,40476,43543,587260,763016,"Y","Y","Y","Y",44307.83,26.8282572108015,1350276,21.2899687194235,84019
"56",2005,"BOS","SLC",3383.25532642154,10721,14869,2105,9940724.568,92060,92759,40476,27984,587260,180488,"Y","Y","Y","N",44307.83,25.3866425034495,767748,20.847852682108,68460
"57",2005,"BOS","TPA",1910.42718528471,10721,15304,1185,16713221.32,265235,268549,40476,30331,587260,326829,"Y","Y","Y","Y",44307.83,25.9804153082199,914089,20.9283900556449,70807
"58",2005,"BWI","CLT",581.353617980907,10821,11057,361,7517572.277,313156,297184,35961,31787,621560,645100,"N","N","N","Y",44307.83,26.717148348421,1266660,20.8570029770285,67748
"59",2005,"BWI","DCA",48.1082533492684,10821,11278,30,3043.431955,473,2,35961,,621560,754896,"N","Y","N","Y",44307.83,26.8743229962993,1376456,,
"60",2005,"BWI","DEN",2396.23250719287,10821,11292,1491,22314066.36,261654,257617,35961,35224,621560,551691,"N","Y","N","N",44307.83,26.5607311118144,1173251,20.9596732443108,71185
"61",2005,"BWI","DFW",1956.94917831836,10821,11298,1217,31079930.09,394755,390680,35961,31238,621560,1808658,"N","N","N","Y",44307.83,27.7480834176786,2430218,20.8395808782929,67199
"62",2005,"BWI","DTW",657.478868248246,10821,11433,408,4878900.932,184440,181896,35961,32254,621560,861222,"N","N","N","Y",44307.83,27.0060953157968,1482782,20.8715876424157,68215
"63",2005,"BWI","EWR",272.107092387245,10821,11618,169,849021.3277,52375,51751,35961,34138,621560,515275,"N","Y","N","Y",44307.83,26.4924437436122,1136835,20.9283567091995,70099
"64",2005,"BWI","FLL",1494.37180845916,10821,11697,925,18174456.74,275338,265668,35961,,621560,318592,"N","Y","N","N",44307.83,26.0116542921879,940152,,
"65",2005,"BWI","HNL",7809.71304428387,10821,12173,0,0,0,0,35961,,621560,918181,"N","Y","N","Y",44307.83,27.0701375438243,1539741,,
"66",2005,"BWI","IAD",72.975237757329,10821,12264,45,3096.949167,48,17,35961,,621560,567136,"N","Y","N","Y",44307.83,26.5883421387555,1188696,,
"67",2005,"BWI","IAH",1988.00156774395,10821,12266,1235,16719023.88,211745,210941,35961,29663,621560,1995773,"N","N","N","Y",44307.83,27.8465297278319,2617333,20.7878460537772,65624
"68",2005,"BWI","JFK",295.698172084542,10821,12478,184,97476.52597,5479,19929,35961,37876,621560,8013368,"N","Y","N","Y",44307.83,29.2366094309776,8634928,21.0322632419786,73837
"69",2005,"BWI","LAS",3384.92857389911,10821,12889,2106,24296307.16,219317,235059,35961,30075,621560,776305,"N","Y","N","Y",44307.83,26.9022884890827,1397865,20.8016398377181,66036
"70",2005,"BWI","LAX",3744.03416477094,10821,12892,2329,21192201.04,166762,176059,35961,,621560,3788197,"N","Y","N","Y",44307.83,28.4873884641723,4409757,,
"71",2005,"BWI","LGA",297.769328232025,10821,12953,185,35358.19177,1907,277,35961,37876,621560,8013368,"N","Y","N","Y",44307.83,29.2366094309776,8634928,21.0322632419786,73837
"72",2005,"BWI","MCO",1270.39732183941,10821,13204,787,26708048.86,467532,448228,35961,28698,621560,223410,"N","Y","N","Y",44307.83,25.6567516532735,844970,20.7547730097836,64659
"73",2005,"BWI","MDW",981.656258928445,10821,13232,611,9303824.909,252497,209518,35961,33736,621560,2752523,"N","Y","N","Y",44307.83,28.1680162294847,3374083,20.9165110923016,69697
"74",2005,"BWI","MIA",1527.63210930144,10821,13303,946,6751096.976,127414,125656,35961,30200,621560,608056,"N","Y","N","Y",44307.83,26.6580099878707,1229616,20.8057875002382,66161
"75",2005,"BWI","MSP",1505.30421284933,10821,13487,936,9671819.256,166550,165354,35961,36808,621560,376937,"N","N","N","N",44307.83,26.1798210696133,998497,21.0036607887105,72769
"76",2005,"BWI","ORD",999.30231169453,10821,13930,621,15311604.63,393560,390383,35961,33736,621560,2752523,"N","Y","N","Y",44307.83,28.1680162294847,3374083,20.9165110923016,69697
"77",2005,"BWI","PDX",3790.12792494845,10821,14057,0,0,0,12946,35961,31999,621560,538053,"N","N","N","Y",44307.83,26.5357000732037,1159613,20.8636502281688,67960
"78",2005,"BWI","PHL",145.062609769973,10821,14100,90,398473.529,64533,57251,35961,34480,621560,1490861,"N","Y","N","Y",44307.83,27.5548520892789,2112421,20.9383250216528,70441
"79",2005,"BWI","PHX",3213.30611478507,10821,14107,1998,32859987.18,314373,287484,35961,30145,621560,1417720,"N","N","N","N",44307.83,27.5045482312639,2039280,20.8039646477987,66106
"80",2005,"BWI","SAN",3689.71046446919,10821,14679,2295,8930723.886,74417,85959,35961,34343,621560,1257278,"N","Y","N","Y",44307.83,27.3844473505161,1878838,20.9343437891882,70304
"81",2005,"BWI","SEA",3752.53471702974,10821,14747,2335,1565321.316,11495,9396,35961,37040,621560,853562,"N","N","N","Y",44307.83,26.9971611865411,1475122,21.0099439856353,73001
"82",2005,"BWI","SFO",3948.77448072863,10821,14771,2457,5746296.326,40871,45129,35961,43543,621560,763016,"N","Y","N","Y",44307.83,26.8850220058032,1384576,21.171694531449,79504
"83",2005,"BWI","SLC",2996.82902304491,10821,14869,1864,7421684.743,76654,85078,35961,27984,621560,180488,"N","Y","N","N",44307.83,25.4434072984513,802048,20.7295784941336,63945
"84",2005,"BWI","TPA",1359.41163199475,10821,15304,842,17789094.92,271748,261039,35961,30331,621560,326829,"N","Y","N","Y",44307.83,26.0371801032216,948389,20.8101158676704,66292
"85",2005,"CLT","DCA",533.245882115827,11057,11278,331,5325313.903,260241,250279,31787,,645100,754896,"N","Y","Y","Y",44307.83,26.9114958929189,1399996,,
"86",2005,"CLT","DEN",2150.62143186644,11057,11292,1338,18646266.37,237545,236332,31787,35224,645100,551691,"N","Y","Y","N",44307.83,26.5979040084341,1196791,20.8362956275889,67011
"87",2005,"CLT","DFW",1504.8946501371,11057,11298,936,22828542.18,339729,332348,31787,31238,645100,1808658,"N","N","Y","Y",44307.83,27.7852563142983,2453758,20.7162032615709,63025
"88",2005,"CLT","DTW",806.621109944354,11057,11433,500,7344097.491,161131,159551,31787,32254,645100,861222,"N","N","Y","Y",44307.83,27.0432682124165,1506322,20.7482100256937,64041
"89",2005,"CLT","EWR",851.250837539205,11057,11618,529,10633343.99,260879,255608,31787,34138,645100,515275,"N","Y","Y","Y",44307.83,26.5296166402318,1160375,20.8049790924775,65925
"90",2005,"CLT","FLL",1020.40416620715,11057,11697,631,12307893.94,343059,334214,31787,,645100,318592,"N","Y","Y","N",44307.83,26.0488271888075,963692,,
"91",2005,"CLT","HNL",7524.90379970964,11057,12173,4678,592907.6491,1865,0,31787,,645100,918181,"N","Y","Y","Y",44307.83,27.1073104404439,1563281,,
"92",2005,"CLT","IAD",517.999984107998,11057,12264,321,7598706.623,276895,273104,31787,,645100,567136,"N","Y","Y","Y",44307.83,26.6255150353752,1212236,,
"93",2005,"CLT","IAH",1468.5364365469,11057,12266,913,11023533.55,146128,142941,31787,29663,645100,1995773,"N","N","Y","Y",44307.83,27.8837026244515,2640873,20.6644684370553,61450
"94",2005,"CLT","JFK",871.505440836532,11057,12478,541,19663.14902,49,12159,31787,37876,645100,8013368,"N","Y","Y","Y",44307.83,29.2737823275973,8658468,20.9088856252567,69663
"95",2005,"CLT","LAS",3080.06209642229,11057,12889,1916,21249203.32,197604,194875,31787,30075,645100,776305,"N","Y","Y","Y",44307.83,26.9394613857023,1421405,20.6782622209961,61862
"96",2005,"CLT","LAX",3416.29322283155,11057,12892,2125,18490919.43,184387,181034,31787,,645100,3788197,"N","Y","Y","Y",44307.83,28.524561360792,4433297,,
"97",2005,"CLT","LGA",875.922094463669,11057,12953,544,12991490.82,381371,398077,31787,37876,645100,8013368,"N","Y","Y","Y",44307.83,29.2737823275973,8658468,20.9088856252567,69663
"98",2005,"CLT","MCO",756.031206045258,11057,13204,468,11187520.26,424484,411514,31787,28698,645100,223410,"N","Y","Y","Y",44307.83,25.6939245498931,868510,20.6313953930616,60485
"99",2005,"CLT","MDW",941.228575970736,11057,13232,584,29099.17199,820,866,31787,33736,645100,2752523,"N","Y","Y","Y",44307.83,28.2051891261044,3397623,20.7931334755797,65523
"100",2005,"CLT","MIA",1050.55784732163,11057,13303,650,11402351.57,243912,238549,31787,30200,645100,608056,"N","Y","Y","Y",44307.83,26.6951828844904,1253156,20.6824098835162,61987
"101",2005,"CLT","MSP",1497.74918023992,11057,13487,930,10458868.04,128946,130545,31787,36808,645100,376937,"N","N","Y","N",44307.83,26.2169939662329,1022037,20.8802831719886,68595
"102",2005,"CLT","ORD",965.960561791203,11057,13930,599,19230899.25,424880,420513,31787,33736,645100,2752523,"N","Y","Y","Y",44307.83,28.2051891261044,3397623,20.7931334755797,65523
"103",2005,"CLT","PDX",3668.56739000821,11057,14057,2282,1367142.164,10630,79,31787,31999,645100,538053,"N","N","Y","Y",44307.83,26.5728729698233,1183153,20.7402726114468,63786
"104",2005,"CLT","PHL",722.329109571971,11057,14100,448,9439184.886,362362,352807,31787,34480,645100,1490861,"N","Y","Y","Y",44307.83,27.5920249858986,2135961,20.8149474049309,66267
"105",2005,"CLT","PHX",2851.55166805236,11057,14107,1774,12755372.87,135600,134360,31787,30145,645100,1417720,"N","N","Y","N",44307.83,27.5417211278835,2062820,20.6805870310768,61932
